0,1,2,3,4,5,6,7
Name,Position,Age,Club,Country,Peak market value,Current market value,Market value at that time
Kylian Mbappé,Right Winger,18,Paris SG,France,180000000,180000000,90000000
Jadon Sancho,Left Winger,18,Bor. Dortmund,Germany,45000000,45000000,45000000
Matthijs de Ligt,Centre-Back,18,AFC Ajax,Netherlands,50000000,50000000,40000000
Gianluigi Donnarumma,Goalkeeper,18,AC Milan,Italy,40000000,40000000,40000000
Wayne Rooney,Centre-Forward,18,Man Utd,England,65000000,10000000,37000000
Vinícius Júnior,Left Winger,17,Flamengo,Brazil,35000000,35000000,35000000
Ryan Sessegnon,Left Midfield,18,Fulham,England,35000000,35000000,35000000
Renato Sanches,Central Midfield,18,Bayern Munich,Germany,30000000,20000000,30000000
Kai Havertz,Attacking Midfield,18,Bay. Leverkusen,Germany,55000000,55000000,28000000
Paulinho,Left Winger,17,Vasco da Gama,Brazil,25000000,25000000,25000000
Sergio Agüero,Centre-Forward,18,Atlético Madrid,Spain,80000000,80000000,23000000
Neymar,Left Winger,18,Santos FC,Brazil,180000000,180000000,18000000
Christian Pulisic,Right Winger,18,Bor. Dortmund,Germany,45000000,45000000,18000000
Breel Embolo,Centre-Forward,18,FC Basel,Switzerland,22000000,18000000,16000000
Romelu Lukaku,Centre-Forward,18,Chelsea,England,100000000,100000000,15000000
Lionel Messi,Right Winger,18,FC Barcelona,Spain,180000000,180000000,15000000
Phil Foden,Central Midfield,18,Man City,England,15000000,15000000,15000000
Alexandre Pato,Centre-Forward,18,AC Milan,Italy,35000000,8000000,15000000
Max Meyer,Attacking Midfield,18,FC Schalke 04,Germany,20000000,18000000,15000000
Gareth Bale,Right Winger,18,Spurs,England,90000000,90000000,14000000
Alex Oxlade-Chamberlain,Right Midfield,18,Arsenal,England,40000000,40000000,13000000
Valeri Bojinov,Centre-Forward,18,Lecce,Italy,13000000,300000,13000000
Luke Shaw,Left-Back,18,Southampton,England,22000000,18000000,13000000
Raheem Sterling,Right Winger,18,Liverpool,England,90000000,90000000,12000000
Mario Götze,Attacking Midfield,18,Bor. Dortmund,Germany,55000000,18000000,12000000
