,#,Player,Nat.,Age at that time,Club,Market value - carreer high,Current Market Value,Market value at that time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,151,Jô Centre-Forward,,Jô,Centre-Forward,,18.0,Corinthians Brazil,,Corinthians,Brazil,"24,00 Mill. €","4,00 Mill. €","5,00 Mill. €"
1,,Jô,,,,,,,,,,,,
2,Centre-Forward,,,,,,,,,,,,,
3,,Corinthians,,,,,,,,,,,,
4,Brazil,,,,,,,,,,,,,
5,152,Ferrán Torres Right Winger,,Ferrán Torres,Right Winger,,18.0,Valencia Spain,,Valencia,Spain,"5,00 Mill. €","5,00 Mill. €","5,00 Mill. €"
6,,Ferrán Torres,,,,,,,,,,,,
7,Right Winger,,,,,,,,,,,,,
8,,Valencia,,,,,,,,,,,,
9,Spain,,,,,,,,,,,,,
10,153,Dennis Praet Central Midfield,,Dennis Praet,Central Midfield,,18.0,RSC Anderlecht Belgium,,RSC Anderlecht,Belgium,"25,00 Mill. €","25,00 Mill. €","5,00 Mill. €"
11,,Dennis Praet,,,,,,,,,,,,
12,Central Midfield,,,,,,,,,,,,,
13,,RSC Anderlecht,,,,,,,,,,,,
14,Belgium,,,,,,,,,,,,,
15,154,Tom Huddlestone Defensive Midfield,,Tom Huddlestone,Defensive Midfield,,18.0,Derby England,,Derby,England,"12,00 Mill. €","3,00 Mill. €","4,70 Mill. €"
16,,Tom Huddlestone,,,,,,,,,,,,
17,Defensive Midfield,,,,,,,,,,,,,
18,,Derby,,,,,,,,,,,,
19,England,,,,,,,,,,,,,
20,155,Amine Gouiri Centre-Forward,,Amine Gouiri,Centre-Forward,,17.0,Olympique Lyon France,,Olympique Lyon,France,"4,50 Mill. €","4,50 Mill. €","4,50 Mill. €"
21,,Amine Gouiri,,,,,,,,,,,,
22,Centre-Forward,,,,,,,,,,,,,
23,,Olympique Lyon,,,,,,,,,,,,
24,France,,,,,,,,,,,,,
25,156,Nuri Sahin Defensive Midfield,,Nuri Sahin,Defensive Midfield,,17.0,Bor. Dortmund Germany,,Bor. Dortmund,Germany,"20,00 Mill. €","3,00 Mill. €","4,50 Mill. €"
26,,Nuri Sahin,,,,,,,,,,,,
27,Defensive Midfield,,,,,,,,,,,,,
28,,Bor. Dortmund,,,,,,,,,,,,
29,Germany,,,,,,,,,,,,,
30,157,Antonio Sanabria Centre-Forward,,Antonio Sanabria,Centre-Forward,,17.0,Sassuolo Italy,,Sassuolo,Italy,"7,50 Mill. €","7,50 Mill. €","4,50 Mill. €"
31,,Antonio Sanabria,,,,,,,,,,,,
32,Centre-Forward,,,,,,,,,,,,,
